price,tax,manufacturer,model,production year,category,leather interior,fuel type,engine volume,mileage,cylinders,gear box type,drive wheels,wheel,color,airbags
14740,645.0,toyota,prius,2011,hatchback,no,hybrid,1.8,288000.0,4,automatic,front,leftwheel,white,8
3763,1053.0,mercedes-benz,ml350,2014,jeep,yes,petrol,3.5,94362.0,4,automatic,rear,leftwheel,white,12
862,781.0,lexus,gx470,2008,jeep,yes,petrol,4.7,263190.0,4,automatic,4x4,leftwheel,white,0
220,1185.0,ford,escape,2009,jeep,yes,hybrid,2.5,193614.0,4,automatic,front,leftwheel,white,0
5645,1324.0,toyota,highlander,2010,jeep,yes,hybrid,3.3,264877.0,4,automatic,4x4,leftwheel,white,12
7527,830.0,toyota,yaris,2019,sedan,yes,petrol,1.5,27656.0,4,automatic,front,leftwheel,white,12
21953,1187.0,honda,civic,2014,sedan,no,hybrid,1.4,16000.0,4,automatic,4x4,right-handdrive,white,10
21953,781.0,toyota,camry,2012,sedan,no,petrol,2.5,195053.0,4,automatic,front,leftwheel,black,0
19121,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,121362.0,4,automatic,front,leftwheel,black,4
36065,639.0,hyundai,santafe,2014,jeep,yes,diesel,2,69191.0,4,automatic,front,leftwheel,white,4
8781,1111.0,honda,fit,2012,hatchback,yes,hybrid,1.3,83000.0,4,tiptronic,front,right-handdrive,green,12
6247,760.0,chevrolet,cruze,2010,sedan,yes,petrol,1.8,40772.0,4,automatic,front,leftwheel,black,4
16289,642.0,chevrolet,orlando,2012,jeep,yes,diesel,2,172000.0,4,automatic,front,leftwheel,grey,4
13500,1604.0,mercedes-benz,gl63amg,2014,jeep,yes,petrol,5.5,118365.5,4,automatic,4x4,leftwheel,black,10
549,781.0,subaru,forester,2012,jeep,yes,petrol,2.5,148213.0,4,automatic,4x4,leftwheel,blue,0
6981,1095.0,daewoo,lacetti,2008,sedan,yes,petrol,2,103246.0,4,automatic,front,leftwheel,black,4
27284,891.0,hyundai,elantra,2016,sedan,no,petrol,2,105394.0,4,tiptronic,front,leftwheel,black,12
15458,966.0,hyundai,genesis,2009,coupe,yes,petrol,2,123346.0,4,automatic,front,leftwheel,black,4
2901,473.0,chevrolet,cruze,2014,sedan,yes,petrol,1.4,80827.0,4,automatic,front,leftwheel,green,12
706,1138.0,porsche,911,2013,coupe,yes,petrol,3.8,64464.0,4,automatic,rear,leftwheel,black,12
314,382.0,ford,fusion,2015,sedan,yes,hybrid,2,91760.0,4,automatic,front,leftwheel,black,12
15681,781.0,lexus,gx460,2010,jeep,yes,petrol,4.6,275240.0,4,automatic,4x4,leftwheel,silver,0
10663,988.0,toyota,prius,2007,hatchback,no,petrol,1.5,318400.0,4,automatic,front,leftwheel,silver,6
12858,765.0,ford,focusse,2015,sedan,no,petrol,2,91200.0,4,automatic,front,leftwheel,skyblue,10
1019,917.0,bmw,x5,2013,jeep,yes,diesel,3,137802.0,4,automatic,4x4,leftwheel,black,12
549,917.0,bmw,535,2013,sedan,yes,hybrid,3,151586.0,4,automatic,rear,leftwheel,white,12
13500,1156.0,ford,explorer,2017,jeep,yes,petrol,2.3,100567.0,4,automatic,front,leftwheel,black,4
44752,1091.0,hyundai,h1,2016,universal,yes,diesel,2.5,86000.0,4,automatic,front,leftwheel,grey,4
17158,687.0,hyundai,elantra,2010,sedan,yes,petrol,1.6,122740.0,4,automatic,front,leftwheel,white,4
11917,781.0,mercedes-benz,e500amg,2013,sedan,yes,petrol,5,150000.0,4,tiptronic,rear,right-handdrive,white,12
25591,640.0,ssangyong,korando,2013,jeep,yes,diesel,2,85704.0,4,automatic,front,leftwheel,silver,4
14897,836.0,hyundai,santafe,2010,jeep,yes,diesel,2,58962.0,4,automatic,front,leftwheel,white,4
23521,779.0,toyota,camry,2013,sedan,yes,hybrid,2.5,90000.0,4,tiptronic,front,leftwheel,white,12
706,777.0,mazda,616,2014,sedan,yes,petrol,2.5,0.0,4,automatic,front,leftwheel,red,12
1019,1537.0,toyota,highlander,2009,sedan,yes,hybrid,3.3,318358.0,4,automatic,4x4,leftwheel,black,12
16935,765.0,ford,fusion,2015,sedan,yes,petrol,2,71454.0,4,automatic,front,leftwheel,black,0
19444,781.0,toyota,camry,2012,sedan,yes,petrol,2.5,0.0,4,tiptronic,front,leftwheel,black,6
11604,639.0,hyundai,sonata,2014,sedan,yes,lpg,2,118365.5,4,automatic,front,leftwheel,silver,4
51965,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,59515.0,4,automatic,front,leftwheel,blue,4
706,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,115312.0,4,automatic,front,leftwheel,grey,12
13328,1347.0,hyundai,h1,2008,minivan,yes,diesel,2.5,74444.0,4,automatic,front,leftwheel,yellow,4
549,781.0,nissan,maxima,2013,sedan,yes,petrol,3.5,299709.0,4,automatic,front,leftwheel,grey,12
22894,862.0,hyundai,h1,2011,minivan,yes,diesel,2.5,124444.0,4,automatic,front,leftwheel,yellow,4
2901,503.0,honda,civic,2012,sedan,yes,hybrid,1.5,146403.0,4,automatic,front,leftwheel,white,0
39829,781.0,lexus,gx460,2010,jeep,yes,petrol,4.6,155821.0,4,automatic,4x4,leftwheel,black,0
706,1646.0,lexus,gx460,2015,jeep,yes,petrol,4.6,102907.0,4,automatic,4x4,leftwheel,black,0
22580,1017.0,mercedes-benz,e300,2017,sedan,yes,petrol,2,50930.0,4,automatic,rear,leftwheel,black,12
11604,639.0,hyundai,sonata,2014,sedan,yes,lpg,2,264872.0,4,automatic,front,leftwheel,silver,4
314,259.0,chevrolet,volt,2014,hatchback,yes,hybrid,1.4,131893.0,4,automatic,front,leftwheel,brown,0
5488,751.0,gmc,terrain,2013,jeep,yes,petrol,2.4,138958.0,4,automatic,front,leftwheel,black,12
18817,609.0,toyota,camry,2018,sedan,yes,hybrid,2.5,35058.0,4,automatic,front,leftwheel,white,12
21169,697.0,honda,hr-vex,2015,jeep,no,petrol,1.8,33330.0,4,automatic,4x4,leftwheel,grey,8
1568,639.0,volkswagen,jetta,2014,sedan,yes,diesel,2,82392.0,4,automatic,front,leftwheel,silver,12
17876,585.0,hyundai,elantrasportlimited,2013,sedan,yes,petrol,1.8,117920.0,4,tiptronic,front,leftwheel,grey,12
11290,891.0,hyundai,sonata,2016,sedan,yes,lpg,2,279787.0,4,automatic,front,leftwheel,silver,4
36065,1399.0,toyota,sienna,2010,minivan,yes,petrol,3.5,227200.0,4,tiptronic,front,leftwheel,white,16
862,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,130478.0,4,automatic,front,leftwheel,white,12
21395,781.0,hyundai,h1,2012,universal,yes,diesel,2.5,166144.0,4,automatic,front,leftwheel,silver,4
15681,891.0,hyundai,sonata,2016,sedan,yes,lpg,2,258706.0,4,automatic,front,leftwheel,silver,4
627,475.0,chevrolet,volt,2012,jeep,yes,hybrid,1.4,188419.0,4,automatic,front,leftwheel,red,0
40070,690.0,toyota,aqua,2016,hatchback,yes,petrol,1.5,25807.0,4,automatic,front,leftwheel,black,4
13500,1079.0,lexus,nx300,2018,jeep,yes,petrol,2.0turbo,18918.0,4,tiptronic,front,leftwheel,black,6
35927,640.0,ssangyong,rexton,2013,jeep,yes,diesel,2,137267.0,4,automatic,front,leftwheel,silver,4
21012,308.0,toyota,prius,2014,sedan,no,hybrid,1.8,160000.0,4,automatic,4x4,leftwheel,white,4
21012,781.0,toyota,tacoma,2018,sedan,yes,petrol,3.5,27358.0,4,automatic,front,leftwheel,grey,12
13172,1361.0,kia,carnivalgrand,2009,minivan,yes,diesel,2.9,84176.0,4,automatic,front,leftwheel,white,6
15624,707.0,hyundai,genesis,2011,coupe,yes,petrol,2,107005.0,4,automatic,front,leftwheel,grey,4
5488,1273.0,infiniti,qx60,2015,jeep,yes,petrol,3.5,124154.0,4,automatic,4x4,leftwheel,black,12
20005,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,104997.0,4,automatic,front,leftwheel,white,4
36110,924.0,volkswagen,passat,2017,sedan,yes,petrol,1.8,27728.0,4,tiptronic,front,leftwheel,silver,8
470,1077.0,mazda,1000,2019,jeep,yes,petrol,2,11566.0,4,automatic,4x4,leftwheel,black,12
43880,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,113700.0,4,automatic,front,leftwheel,silver,4
29479,584.0,mercedes-benz,c250,2014,sedan,yes,petrol,1.8turbo,69000.0,4,tiptronic,rear,leftwheel,grey,8
44213,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,50255.0,4,automatic,front,leftwheel,red,4
8467,781.0,bmw,325,2013,sedan,yes,petrol,2.5,252800.0,4,manual,rear,leftwheel,grey,6
627,915.0,audi,a6,2014,sedan,yes,petrol,3,164488.0,4,automatic,4x4,leftwheel,silver,12
21950,831.0,ford,transit,2011,goodswagon,no,diesel,2.4turbo,125000.0,4,manual,4x4,leftwheel,white,2
706,475.0,fiat,500,2012,hatchback,yes,petrol,1.4,164574.0,4,automatic,front,leftwheel,red,12
3136,473.0,chevrolet,cruze,2014,sedan,yes,petrol,1.4,156992.0,4,automatic,front,leftwheel,black,12
314,1053.0,mercedes-benz,e350,2014,sedan,yes,diesel,3.5,149486.0,4,automatic,4x4,leftwheel,silver,12
1490,639.0,volkswagen,jetta,2014,universal,yes,diesel,2,113214.0,4,automatic,front,leftwheel,grey,12
627,836.0,toyota,tacoma,2012,sedan,yes,petrol,2.7,118365.5,4,automatic,rear,leftwheel,black,12
314,1053.0,mercedes-benz,e350,2014,sedan,yes,diesel,3.5,149486.0,4,automatic,4x4,leftwheel,silver,12
4704,917.0,audi,a7,2013,hatchback,yes,petrol,3,301707.0,4,automatic,4x4,leftwheel,grey,0
706,751.0,hyundai,sonata,2013,sedan,yes,petrol,2.4,175827.0,4,automatic,front,leftwheel,black,12
5802,1055.0,mercedes-benz,e350,2013,sedan,yes,diesel,3.5,107800.0,4,automatic,rear,leftwheel,grey,12
25716,777.0,toyota,camry,2014,sedan,no,petrol,2.5,115200.0,4,automatic,front,leftwheel,silver,8
14426,642.0,chevrolet,orlando,2012,jeep,yes,lpg,2,132036.0,4,automatic,front,leftwheel,white,4
45436,1172.0,ford,explorer,2011,jeep,yes,petrol,3.5,129177.0,4,automatic,front,leftwheel,white,4
11917,893.0,hyundai,i30,2008,hatchback,no,diesel,1.6,201000.0,4,manual,front,leftwheel,black,8
41281,765.0,hyundai,santafe,2015,jeep,yes,diesel,2,185811.0,4,automatic,front,leftwheel,black,4
3058,781.0,porsche,cayenne,2018,sedan,yes,petrol,3.6,28968.0,4,automatic,4x4,leftwheel,white,12
6586,645.0,lexus,ct200h,2011,hatchback,yes,hybrid,1.8,122302.0,4,automatic,front,leftwheel,black,0
30063,639.0,hyundai,tucson,2014,jeep,yes,diesel,2,120000.0,4,automatic,front,leftwheel,white,4
13500,781.0,porsche,panamera,2010,hatchback,yes,petrol,4.8,196800.0,4,tiptronic,4x4,leftwheel,white,8
12231,1266.0,toyota,aqua,2014,hatchback,no,hybrid,1.5,66000.0,4,variator,front,right-handdrive,silver,4
5620,447.0,honda,fit,2013,hatchback,yes,petrol,1.3,110467.0,4,automatic,front,leftwheel,white,4
19130,781.0,mercedes-benz,cls550,2010,sedan,yes,petrol,5.5,157000.0,4,automatic,front,leftwheel,grey,10
9408,1111.0,honda,fit,2012,hatchback,no,hybrid,1.3,64000.0,4,variator,front,right-handdrive,black,4
15367,640.0,volkswagen,passat,2013,sedan,yes,diesel,2.0turbo,179200.0,4,tiptronic,front,leftwheel,white,16
5959,781.0,chevrolet,avalanche,2011,sedan,yes,petrol,5.3,246976.0,4,automatic,front,leftwheel,black,12
26594,777.0,hyundai,h1,2014,minivan,yes,diesel,2.5,179918.0,4,automatic,front,leftwheel,silver,4
36065,779.0,toyota,avalonlimited,2013,sedan,yes,hybrid,2.5,92200.0,4,tiptronic,front,leftwheel,beige,12
26343,730.0,kia,ceratok3,2016,sedan,yes,diesel,1.6turbo,29000.0,4,tiptronic,front,leftwheel,silver,8
549,862.0,mazda,cx-7,2011,sedan,yes,petrol,2.5,216550.0,4,automatic,front,leftwheel,black,12
40142,781.0,lexus,gx470,2010,jeep,yes,petrol,4.6,118365.5,4,automatic,4x4,leftwheel,grey,0
14000,585.0,hyundai,elantra,2013,sedan,no,petrol,1.8,50000.0,4,tiptronic,front,leftwheel,grey,10
17923,473.0,chevrolet,cruze,2014,sedan,yes,petrol,1.4,127842.0,4,automatic,front,leftwheel,white,4
13500,831.0,hyundai,tucson,2017,jeep,yes,petrol,1.6,40193.0,4,automatic,front,leftwheel,black,4
282,289.0,ford,escape,2008,jeep,yes,hybrid,0.4,220474.0,4,automatic,front,leftwheel,grey,0
7527,640.0,volkswagen,passat,2013,sedan,yes,diesel,2,132310.0,4,automatic,front,leftwheel,grey,12
3450,1249.0,toyota,camry,2017,sedan,yes,petrol,2.5,60762.0,4,automatic,front,leftwheel,white,12
22063,836.0,hyundai,tucson,2010,jeep,yes,diesel,2,142264.0,4,automatic,front,leftwheel,white,4
2901,503.0,honda,civic,2012,sedan,yes,hybrid,1.5,146403.0,4,automatic,front,leftwheel,white,0
4704,585.0,toyota,corolla,2013,sedan,yes,petrol,1.8,227371.0,4,automatic,front,leftwheel,silver,12
941,642.0,volkswagen,jetta,2012,sedan,yes,diesel,2,203440.0,4,automatic,front,leftwheel,black,12
16900,502.0,honda,fit,2013,hatchback,yes,petrol,1.5,70000.0,4,automatic,front,leftwheel,blue,4
42651,1017.0,mercedes-benz,gla250,2017,jeep,yes,petrol,2,44995.0,4,automatic,4x4,leftwheel,black,0
15524,586.0,toyota,prius,2012,hatchback,no,hybrid,1.8,122324.0,4,automatic,front,leftwheel,red,7
862,333.0,ford,fusion,2014,sedan,yes,hybrid,2,186048.0,4,automatic,front,leftwheel,black,0
28909,831.0,hyundai,elantra,2017,sedan,yes,diesel,1.6,98000.0,4,automatic,front,leftwheel,white,4
8467,642.0,hyundai,sonata,2012,sedan,yes,lpg,2,118365.5,4,automatic,front,leftwheel,black,4
14426,639.0,hyundai,sonata,2014,sedan,yes,lpg,2,169024.0,4,automatic,front,leftwheel,white,4
9000,1325.0,volkswagen,sharan,2011,minivan,no,petrol,1.4,126000.0,4,automatic,front,right-handdrive,silver,6
30734,1053.0,mercedes-benz,e350,2014,sedan,yes,diesel,3.5,200179.0,4,automatic,4x4,leftwheel,black,12
22580,779.0,toyota,camry,2013,sedan,yes,petrol,2.5,156666.0,4,automatic,front,leftwheel,black,12
862,259.0,chevrolet,volt,2014,jeep,yes,hybrid,1.4,133195.0,4,automatic,front,leftwheel,black,0
7464,247.0,honda,fit,2014,hatchback,yes,hybrid,1.3,114950.0,4,automatic,front,leftwheel,blue,4
1333,1091.0,ford,fusion,2016,sedan,yes,petrol,2.5,154850.0,4,automatic,front,leftwheel,black,12
13500,879.0,hyundai,tucson,2019,jeep,yes,diesel,1.6,13000.0,4,automatic,front,leftwheel,white,4
49237,1342.0,toyota,tacoma,2017,jeep,yes,petrol,2.7,94262.0,4,automatic,rear,leftwheel,white,12
13500,1327.0,hyundai,h1,2018,universal,yes,diesel,2.5,27406.0,4,automatic,front,leftwheel,yellow,4
392,1017.0,mercedes-benz,e300,2017,sedan,yes,petrol,2,1600.0,4,automatic,rear,leftwheel,black,12
2430,1598.0,mercedes-benz,e350,2008,sedan,yes,diesel,3,175614.0,4,automatic,rear,leftwheel,black,12
282,333.0,ford,fusion,2014,sedan,yes,hybrid,2,0.0,4,automatic,front,leftwheel,silver,0
392,629.0,nissan,juke,2015,jeep,yes,petrol,1.6,85944.0,4,automatic,4x4,leftwheel,black,0
33556,765.0,mercedes-benz,c300,2015,sedan,yes,petrol,2,0.0,4,automatic,rear,leftwheel,black,12
39161,831.0,ssangyong,actyon,2017,jeep,yes,diesel,1.6,73000.0,4,automatic,front,leftwheel,white,4
43278,1514.0,lexus,gx460,2011,jeep,yes,petrol,4.6,160138.0,4,automatic,4x4,leftwheel,white,0
470,1058.0,hyundai,santafe,2012,jeep,yes,petrol,3.5,197923.0,4,automatic,4x4,leftwheel,red,12
20385,738.0,chevrolet,cruze,2017,sedan,no,petrol,1.4turbo,42000.0,4,tiptronic,front,leftwheel,black,12
941,781.0,toyota,tundra,2016,jeep,yes,petrol,4.6,254805.0,4,automatic,4x4,leftwheel,white,12
49858,1077.0,hyundai,tucson,2019,jeep,yes,diesel,2,48000.0,4,automatic,front,leftwheel,white,4
220,1055.0,mercedes-benz,c350,2013,sedan,yes,petrol,3.5,159250.0,4,automatic,rear,leftwheel,black,12
9722,765.0,hyundai,sonata,2015,sedan,yes,lpg,2,118365.5,4,automatic,front,leftwheel,orange,4
51075,1017.0,hyundai,tucson,2017,jeep,yes,diesel,2,40800.0,4,automatic,front,leftwheel,white,4
15241,707.0,hyundai,genesis,2011,coupe,yes,petrol,2,117492.0,4,automatic,front,leftwheel,grey,4
2587,382.0,ford,fusion,2015,sedan,yes,hybrid,2,88795.0,4,automatic,front,leftwheel,black,0
15524,1347.0,hyundai,h1,2008,minivan,yes,diesel,2.5,56769.0,4,automatic,front,leftwheel,silver,4
4861,779.0,toyota,camry,2013,sedan,yes,hybrid,2.5,136861.0,4,automatic,front,leftwheel,blue,12
18208,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,95665.0,4,automatic,front,leftwheel,grey,4
549,481.0,hyundai,sonata,2017,sedan,yes,hybrid,2,107387.0,4,automatic,front,leftwheel,silver,12
34497,779.0,toyota,rav4le,2013,jeep,no,petrol,2.5,65350.0,4,tiptronic,front,leftwheel,white,12
6272,1522.0,opel,zafira,2013,goodswagon,no,petrol,1.8,130000.0,4,manual,front,leftwheel,silver,0
4924,1282.0,chevrolet,captiva,2007,jeep,yes,diesel,2,183923.0,4,automatic,front,leftwheel,silver,4
43576,1091.0,hyundai,h1,2016,universal,yes,diesel,2.5,97129.0,4,automatic,front,leftwheel,silver,4
28225,1079.0,toyota,chr,2018,jeep,no,petrol,2,24000.0,4,automatic,front,leftwheel,grey,8
18817,738.0,chevrolet,cruze,2017,hatchback,yes,petrol,1.4,29094.0,4,automatic,front,leftwheel,grey,0
4861,382.0,ford,fusion,2015,sedan,yes,hybrid,2,148709.0,4,automatic,front,leftwheel,red,12
13172,1399.0,lexus,rx450,2010,jeep,yes,hybrid,3.5,186005.0,4,automatic,4x4,leftwheel,silver,12
37320,1055.0,mercedes-benz,e350ამგ,2013,sedan,yes,petrol,3.5,156800.0,4,tiptronic,4x4,leftwheel,black,12
706,1017.0,ford,escape,2017,jeep,yes,petrol,2,251430.0,4,automatic,front,leftwheel,blue,12
39201,456.0,toyota,camry,2015,sedan,yes,hybrid,2.5,35000.0,4,automatic,front,leftwheel,grey,10
36426,880.0,hyundai,elantra,2018,sedan,yes,lpg,1.6,35643.0,4,automatic,front,leftwheel,white,4
12701,900.0,honda,cr-v,2015,jeep,yes,petrol,2.4,117158.0,4,automatic,front,leftwheel,white,12
8154,781.0,subaru,forester,2012,jeep,yes,petrol,2.5,281659.0,4,automatic,4x4,leftwheel,blue,0
46414,456.0,toyota,avalon,2015,sedan,yes,hybrid,2.5,63645.0,4,tiptronic,front,leftwheel,white,12
45160,798.0,mercedes-benz,ml250,2015,jeep,yes,diesel,2.1,197338.0,4,automatic,4x4,leftwheel,white,12
1176,639.0,mitsubishi,coltlancer,2014,hatchback,yes,petrol,2,136634.0,4,automatic,front,leftwheel,silver,12
5802,988.0,toyota,prius,2007,hatchback,yes,hybrid,1.5,140000.0,4,variator,front,leftwheel,green,12
2901,1277.0,hyundai,sonata,2018,sedan,yes,petrol,2.4,45494.0,4,automatic,front,leftwheel,white,12
1882,442.0,toyota,prius,2017,sedan,yes,hybrid,1.8,47672.0,4,automatic,front,leftwheel,white,12
36065,1051.0,mitsubishi,outlander,2016,jeep,yes,petrol,2.4,39000.0,4,variator,front,leftwheel,silver,12
21639,1091.0,subaru,forester,2016,jeep,no,petrol,2.5,34000.0,4,variator,4x4,leftwheel,white,7
7840,790.0,hyundai,i30,2009,hatchback,yes,petrol,1.6,140000.0,4,automatic,front,leftwheel,silver,4
282,289.0,ford,escape,2008,jeep,yes,hybrid,0.4,220474.0,4,automatic,front,leftwheel,grey,0
1646,1292.0,mercedes-benz,gle350,2016,jeep,yes,petrol,3,59099.0,4,automatic,4x4,leftwheel,white,0
24198,640.0,hyundai,tucson,2013,jeep,yes,diesel,2,124000.0,4,automatic,front,leftwheel,silver,4
25365,502.0,honda,fit,2013,hatchback,yes,petrol,1.5,34682.0,4,automatic,front,leftwheel,grey,4
1725,777.0,chevrolet,malibu,2014,sedan,yes,petrol,2.5,310061.0,4,automatic,front,leftwheel,blue,12
314,1399.0,acura,tl,2010,sedan,yes,petrol,3.5,162453.0,4,automatic,front,leftwheel,silver,12
17249,586.0,toyota,prius,2012,sedan,no,hybrid,1.8,22400.0,4,automatic,front,leftwheel,white,8
470,1399.0,mercedes-benz,e350,2010,sedan,yes,petrol,3.5,229904.0,4,automatic,4x4,leftwheel,black,12
31361,639.0,hyundai,sonata,2014,sedan,yes,petrol,2.0turbo,62000.0,4,tiptronic,front,leftwheel,white,12
4704,1047.0,hyundai,elantra,2007,sedan,yes,diesel,1.6,54279.0,4,automatic,front,leftwheel,silver,4
